spend_id,date,platform,campaign_id,campaign_name,impressions,clicks,ctr,spend,conversions,conversion_value,roas
AD00000001,2023-01-01,google_ads,GS001,Brand Keywords,301,14,0.0465,28.05,0,0.0,0.0
AD00000002,2023-01-01,google_ads,GS002,Coffee Subscription,571,23,0.0403,25.13,1,39.62,1.58
AD00000003,2023-01-01,google_ads,GS003,Competitor Conquesting,573,18,0.0314,19.27,1,42.28,2.19
AD00000004,2023-01-01,meta_ads,FB001,Prospecting — Interest,3109,29,0.0095,31.65,0,0.0,0.0
AD00000005,2023-01-01,meta_ads,FB002,Retargeting — Site Visitors,1098,26,0.0239,21.33,0,0.0,0.0
AD00000006,2023-01-01,meta_ads,FB003,LAL — Top Customers,1097,26,0.0238,22.1,0,0.0,0.0
AD00000007,2023-01-01,meta_ads,IG001,Instagram — Story Ads,1941,15,0.0081,21.96,0,0.0,0.0
AD00000008,2023-01-02,google_ads,GS001,Brand Keywords,374,17,0.0455,27.93,0,0.0,0.0
AD00000009,2023-01-02,google_ads,GS002,Coffee Subscription,592,27,0.0456,24.85,0,0.0,0.0
AD00000010,2023-01-02,google_ads,GS003,Competitor Conquesting,361,17,0.0471,14.31,0,0.0,0.0
AD00000011,2023-01-02,meta_ads,FB001,Prospecting — Interest,1514,24,0.0162,27.49,0,0.0,0.0
AD00000012,2023-01-02,meta_ads,FB002,Retargeting — Site Visitors,2123,31,0.0148,18.62,1,35.76,1.92
AD00000013,2023-01-02,meta_ads,FB003,LAL — Top Customers,1051,11,0.0111,21.94,0,0.0,0.0
AD00000014,2023-01-02,meta_ads,IG001,Instagram — Story Ads,1352,10,0.0081,23.63,0,0.0,0.0
AD00000015,2023-01-03,google_ads,GS001,Brand Keywords,379,19,0.0501,27.88,1,42.08,1.51
AD00000016,2023-01-03,google_ads,GS002,Coffee Subscription,876,37,0.0422,23.45,2,67.24,2.87
AD00000017,2023-01-03,google_ads,GS003,Competitor Conquesting,440,15,0.0341,16.93,0,0.0,0.0
AD00000018,2023-01-03,meta_ads,FB001,Prospecting — Interest,781,6,0.0088,14.15,0,0.0,0.0
AD00000019,2023-01-03,meta_ads,FB002,Retargeting — Site Visitors,1876,24,0.0129,25.75,0,0.0,0.0
AD00000020,2023-01-03,meta_ads,FB003,LAL — Top Customers,1049,23,0.0223,18.56,0,0.0,0.0
AD00000021,2023-01-03,meta_ads,IG001,Instagram — Story Ads,1369,16,0.0124,22.48,0,0.0,0.0
AD00000022,2023-01-04,google_ads,GS001,Brand Keywords,149,8,0.0537,16.2,0,0.0,0.0
AD00000023,2023-01-04,google_ads,GS002,Coffee Subscription,440,18,0.0409,25.47,1,44.11,1.73
AD00000024,2023-01-04,google_ads,GS003,Competitor Conquesting,207,7,0.0338,13.83,0,0.0,0.0
AD00000025,2023-01-04,meta_ads,FB001,Prospecting — Interest,779,17,0.0225,14.63,0,0.0,0.0
AD00000026,2023-01-04,meta_ads,FB002,Retargeting — Site Visitors,920,12,0.0134,17.2,0,0.0,0.0
AD00000027,2023-01-04,meta_ads,FB003,LAL — Top Customers,1074,10,0.0099,19.17,0,0.0,0.0
AD00000028,2023-01-04,meta_ads,IG001,Instagram — Story Ads,2056,35,0.0173,22.17,0,0.0,0.0
AD00000029,2023-01-05,google_ads,GS001,Brand Keywords,373,15,0.0402,16.07,1,50.38,3.14
AD00000030,2023-01-05,google_ads,GS002,Coffee Subscription,353,13,0.0368,25.74,0,0.0,0.0
AD00000031,2023-01-05,google_ads,GS003,Competitor Conquesting,520,22,0.0423,22.0,1,30.22,1.37
AD00000032,2023-01-05,meta_ads,FB001,Prospecting — Interest,1455,19,0.0134,25.99,0,0.0,0.0
AD00000033,2023-01-05,meta_ads,FB002,Retargeting — Site Visitors,915,8,0.0097,17.09,0,0.0,0.0
AD00000034,2023-01-05,meta_ads,FB003,LAL — Top Customers,1614,17,0.0107,28.64,0,0.0,0.0
AD00000035,2023-01-05,meta_ads,IG001,Instagram — Story Ads,1962,28,0.0144,22.72,0,0.0,0.0
AD00000036,2023-01-06,google_ads,GS001,Brand Keywords,421,19,0.0451,29.64,1,39.82,1.34
AD00000037,2023-01-06,google_ads,GS002,Coffee Subscription,239,12,0.0502,27.24,0,0.0,0.0
AD00000038,2023-01-06,google_ads,GS003,Competitor Conquesting,371,20,0.0539,23.81,0,0.0,0.0
AD00000039,2023-01-06,meta_ads,FB001,Prospecting — Interest,1992,46,0.0232,27.34,1,44.14,1.61
AD00000040,2023-01-06,meta_ads,FB002,Retargeting — Site Visitors,2197,23,0.0106,21.6,0,0.0,0.0
AD00000041,2023-01-06,meta_ads,FB003,LAL — Top Customers,2231,46,0.021,19.17,1,39.95,2.08
AD00000042,2023-01-06,meta_ads,IG001,Instagram — Story Ads,1297,19,0.0153,20.9,0,0.0,0.0
AD00000043,2023-01-07,google_ads,GS001,Brand Keywords,260,13,0.05,21.53,0,0.0,0.0
AD00000044,2023-01-07,google_ads,GS002,Coffee Subscription,718,37,0.0515,24.07,1,50.96,2.12
AD00000045,2023-01-07,google_ads,GS003,Competitor Conquesting,362,21,0.058,24.05,0,0.0,0.0
AD00000046,2023-01-07,meta_ads,FB001,Prospecting — Interest,1379,16,0.0117,27.61,0,0.0,0.0
AD00000047,2023-01-07,meta_ads,FB002,Retargeting — Site Visitors,828,6,0.0083,16.05,0,0.0,0.0
AD00000048,2023-01-07,meta_ads,FB003,LAL — Top Customers,2833,29,0.0103,31.99,0,0.0,0.0
AD00000049,2023-01-07,meta_ads,IG001,Instagram — Story Ads,1084,17,0.0163,18.0,0,0.0,0.0
