item_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,line_total,cogs
OI00000001,O00000001,C000001,P001,Morning Ritual Blend,whole_bean,3,18.99,0.2,45.58,19.5
OI00000002,O00000002,C000002,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000003,O00000002,C000002,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000004,O00000003,C000002,P006,Decaf House Blend,whole_bean,2,17.99,0.0,35.98,12.4
OI00000005,O00000004,C000003,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.2,21.59,9.8
OI00000006,O00000005,C000004,P002,Dark Roast Espresso,whole_bean,1,21.99,0.2,17.59,7.2
OI00000007,O00000006,C000004,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000008,O00000006,C000004,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000009,O00000007,C000004,P002,Dark Roast Espresso,whole_bean,3,21.99,0.0,65.97,21.6
OI00000010,O00000007,C000004,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000011,O00000007,C000004,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000012,O00000008,C000005,P003,Single Origin Ethiopia,whole_bean,3,26.99,0.0,80.97,29.4
OI00000013,O00000009,C000005,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000014,O00000010,C000006,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.1,20.69,8.4
OI00000015,O00000011,C000007,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000016,O00000011,C000007,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000017,O00000012,C000008,P004,Cold Brew Starter Kit,equipment,1,34.99,0.15,29.74,12.0
OI00000018,O00000013,C000010,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000019,O00000014,C000011,P008,Reusable Brew Bag,equipment,2,12.99,0.0,25.98,6.4
OI00000020,O00000015,C000011,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000021,O00000015,C000011,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000022,O00000015,C000011,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000023,O00000015,C000011,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000024,O00000016,C000012,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000025,O00000016,C000012,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000026,O00000016,C000012,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000027,O00000017,C000013,P001,Morning Ritual Blend,whole_bean,1,18.99,0.15,16.14,6.5
OI00000028,O00000018,C000015,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000029,O00000018,C000015,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,3,22.99,0.0,68.97,25.2
OI00000030,O00000018,C000015,P002,Dark Roast Espresso,whole_bean,2,21.99,0.0,43.98,14.4
OI00000031,O00000019,C000015,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000032,O00000020,C000015,P006,Decaf House Blend,whole_bean,1,17.99,0.2,14.39,6.2
OI00000033,O00000020,C000015,P006,Decaf House Blend,whole_bean,1,17.99,0.2,14.39,6.2
OI00000034,O00000020,C000015,P001,Morning Ritual Blend,whole_bean,1,18.99,0.2,15.19,6.5
OI00000035,O00000020,C000015,P004,Cold Brew Starter Kit,equipment,1,34.99,0.2,27.99,12.0
OI00000036,O00000021,C000016,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,2,22.99,0.1,41.38,16.8
OI00000037,O00000022,C000017,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000038,O00000023,C000017,P008,Reusable Brew Bag,equipment,2,12.99,0.0,25.98,6.4
OI00000039,O00000023,C000017,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000040,O00000024,C000019,P008,Reusable Brew Bag,equipment,2,12.99,0.0,25.98,6.4
OI00000041,O00000024,C000019,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
