order_id,customer_id,order_date,shipped_date,delivered_date,channel,promo_code,discount_pct,subtotal,shipping_cost,tax,order_total,status,is_first_order
O00000001,C000001,2023-08-08,2023-08-09,2023-08-12,paid_search,SUMMER15,0.2,45.58,0.0,3.65,49.23,delivered,True
O00000002,C000002,2024-04-08,2024-04-09,2024-04-11,paid_search,,0.0,95.97,0.0,7.68,103.65,delivered,True
O00000003,C000002,2024-04-13,2024-04-14,2024-04-18,direct,,0.0,35.98,5.99,2.88,44.85,delivered,False
O00000004,C000003,2024-03-07,2024-03-08,2024-03-10,organic_search,SUMMER15,0.2,21.59,5.99,1.73,29.31,delivered,True
O00000005,C000004,2023-09-10,2023-09-11,2023-09-14,organic_search,WELCOME10,0.2,17.59,5.99,1.41,24.99,delivered,True
O00000006,C000004,2023-10-23,2023-10-24,2023-10-27,organic_search,,0.0,56.98,0.0,4.56,61.54,delivered,False
O00000007,C000004,2023-10-24,2023-10-25,2023-10-27,direct,,0.0,110.95,0.0,8.88,119.83,delivered,False
O00000008,C000005,2024-06-16,2024-06-17,2024-06-18,organic_search,,0.0,80.97,0.0,6.48,87.45,delivered,True
O00000009,C000005,2024-06-24,2024-06-25,2024-06-30,direct,,0.0,21.99,5.99,1.76,29.74,delivered,False
O00000010,C000006,2023-07-28,2023-07-29,2023-07-31,direct,WELCOME10,0.1,20.69,5.99,1.66,28.34,delivered,True
O00000011,C000007,2023-10-31,2023-11-01,2023-11-03,organic_search,,0.0,56.98,0.0,4.56,61.54,delivered,True
O00000012,C000008,2023-04-17,2023-04-18,2023-04-21,organic_search,SUMMER15,0.15,29.74,5.99,2.38,38.11,delivered,True
O00000013,C000010,2023-12-10,2023-12-11,2023-12-15,referral,,0.0,17.99,5.99,1.44,25.42,delivered,True
O00000014,C000011,2023-10-04,2023-10-05,2023-10-07,paid_search,,0.0,25.98,5.99,2.08,34.05,delivered,True
O00000015,C000011,2023-10-29,2023-10-30,2023-11-01,organic_search,,0.0,114.96,0.0,9.2,124.16,delivered,False
O00000016,C000012,2023-04-24,2023-04-25,2023-04-26,paid_social,,0.0,62.97,0.0,5.04,68.01,refunded,True
O00000017,C000013,2023-01-18,2023-01-19,2023-01-21,direct,SUMMER15,0.15,16.14,5.99,1.29,23.42,delivered,True
O00000018,C000015,2024-03-15,2024-03-16,2024-03-17,paid_social,,0.0,147.94,0.0,11.84,159.78,delivered,True
O00000019,C000015,2024-03-27,2024-03-28,2024-03-30,email,,0.0,12.99,5.99,1.04,20.02,delivered,False
